question,question_label,category,afro_n,afro_pct,branca_n,branca_pct,total_n,total_pct
Q01,Idade,Entre 18 e 29 anos,1,0.746268656716418,4,4.301075268817204,5,2.202643171806167
Q01,Idade,Entre 30 e 39 anos,18,13.432835820895523,28,30.107526881720432,46,20.26431718061674
Q01,Idade,Entre 40 e 49 anos,40,29.850746268656717,25,26.881720430107528,65,28.634361233480178
Q01,Idade,Entre 50 e 59 anos,50,37.3134328358209,21,22.580645161290324,71,31.277533039647576
Q01,Idade,Acima de 60 anos,25,18.65671641791045,15,16.129032258064516,40,17.621145374449338
Q02,Composição racial,Pardo,101,,0,,101,43.347639484978544
Q02,Composição racial,Branco,0,,93,,93,39.91416309012875
Q02,Composição racial,Preto,39,,0,,39,16.738197424892704
Q02,Composição racial,Amarelo,0,,0,,1,0.4291845493562232
Q02,Composição racial,Indígena,0,,0,,1,0.4291845493562232
Q03,Diarista vs vínculo,Diarista,45,53.57142857142857,35,50.0,80,51.94805194805195
Q03,Diarista vs vínculo,Com vínculo,39,46.42857142857143,35,50.0,74,48.05194805194805
Q04,Salário base,"Abaixo de R$ 1476,75",24,18.46153846153846,23,27.710843373493976,47,22.065727699530516
Q04,Salário base,"Entre R$ 1476,75 e R$ 2000,00",61,46.92307692307692,38,45.78313253012048,99,46.478873239436616
Q04,Salário base,"Entre R$ 2000,00 e R$ 3500,00",38,29.23076923076923,18,21.686746987951807,56,26.291079812206572
Q04,Salário base,"Acima de 3500,00",7,5.384615384615385,4,4.819277108433735,11,5.164319248826291
Q06,Horas extras,Sim,19,14.960629921259843,7,8.333333333333334,26,12.322274881516588
Q06,Horas extras,Não,108,85.03937007874016,77,91.66666666666667,185,87.67772511848341
Q07,Feriado 27/abr,"Trabalhou, mas recebeu o dia em dobro",12,11.881188118811881,6,8.955223880597014,18,10.714285714285714
Q07,Feriado 27/abr,"Trabalhou, mas não recebeu o dia dia em dobro",76,75.24752475247524,54,80.59701492537313,130,77.38095238095238
Q07,Feriado 27/abr,Foi liberada de trabalhar nesse dia,13,12.871287128712872,7,10.447761194029852,20,11.904761904761905
Q08,Conhece CC?,Sim,30,23.076923076923077,22,25.58139534883721,52,24.074074074074073
Q08,Conhece CC?,Não,100,76.92307692307692,64,74.4186046511628,164,75.92592592592592
Q09,Sabe da CC em SP?,Sim,42,31.57894736842105,32,35.55555555555556,74,33.18385650224215
Q09,Sabe da CC em SP?,Não,91,68.42105263157895,58,64.44444444444444,149,66.81614349775785
Q10,CC trouxe benefício?,Sim,50,40.0,25,30.864197530864196,75,36.407766990291265
Q10,CC trouxe benefício?,Não,75,60.0,56,69.1358024691358,131,63.592233009708735
Q11,Sindicato ajuda?,Sim,102,82.25806451612904,68,83.95061728395062,170,82.92682926829268
Q11,Sindicato ajuda?,Não,22,17.741935483870968,13,16.049382716049383,35,17.073170731707318
Q12,Função do sindicato,1. Defesa dos direitos trabalhistas,30,24.390243902439025,14,16.666666666666668,44,21.256038647342994
Q12,Função do sindicato,2. Orientação sobre direitos,14,11.382113821138212,5,5.9523809523809526,19,9.178743961352657
Q12,Função do sindicato,3. Apoio jurídico e cobrança dos patrões,10,8.130081300813009,11,13.095238095238095,21,10.144927536231885
Q12,Função do sindicato,"4. Cuidado, proteção e acolhimento",5,4.065040650406504,0,0.0,5,2.4154589371980677
Q12,Função do sindicato,5. Todas / não sabe / vago,64,52.03252032520325,54,64.28571428571429,118,57.00483091787439
